cd,90
git,17
ls,64
ll,50
echo,14
vi,5
vim,38
sudo,46
ln,6
gedit,4
.,16
n,1
node,50
rm,7
cp,3
exec,8
npm,7
nodejs,2
exit,1
nonode,1
cat,6
which,5
gyhjkl,1
NODE,1
java,1
shutdown,1
pwd,5
chmod,1
$PATH,1
l,2
webstorm.sh,12
./node,1
clear,3
~./ssh,1
~/.ssh,1
ssh-keygen,1
ssh-add,1
xclip,1
ssh,1
myfile,1
./firstproject,2
./properties.json,1
tar,1
whoami,1
su,1
root,1
root#,1
mkdir,1
./mongod,1
mongo,3
./mongo,1
mongodb,1
./mongodb,1
mount,1
/et,1
/etc,1
ll|grep,1
mongod,1
history|grep,1
player,1
,1
